time_sec,stft_energy,stft_max_freq_hz
0.010666666666666666,0.017418250184791748,3375.0
0.021333333333333333,0.018294466307036236,3328.125
0.032,0.021547693913586692,3421.875
0.042666666666666665,0.012257212646050612,3375.0
0.05333333333333334,0.009603753742948765,3375.0
0.064,0.023545319307347046,3421.875
0.07466666666666667,0.021997670576740153,3328.125
0.08533333333333333,0.018270029808856975,3375.0
0.096,0.01672628486036938,3281.25
0.10666666666666667,0.016386704559158208,3375.0
0.11733333333333333,0.018659221664708042,3375.0
0.128,0.012884426865229635,3375.0
0.13866666666666666,0.030514182611988676,3375.0
0.14933333333333335,0.012448213537454227,3281.25
0.16,0.011184465386217512,3375.0
