time_sec,stft_energy,stft_max_freq_hz
0.010666666666666666,0.007499294365196566,1031.25
0.021333333333333333,0.004007155447670876,1031.25
0.032,0.002390775209608087,1078.125
0.042666666666666665,0.0061410245239946195,1031.25
0.05333333333333334,0.0032899059978441104,1031.25
0.064,0.001549163380453002,1031.25
0.07466666666666667,0.006359812263656052,1031.25
0.08533333333333333,0.004062835759740573,1031.25
0.096,0.0034309246257080224,93.75
0.10666666666666667,0.004574847547639623,140.625
0.11733333333333333,0.004327156546132877,1031.25
0.128,0.0028966485053349717,1031.25
0.13866666666666666,0.0041606964951224025,1031.25
0.14933333333333335,0.0056322411131915625,1031.25
0.16,0.0027115252881243198,1031.25
