time_sec,stft_energy,stft_max_freq_hz
0.010666666666666666,0.07292994409921427,2906.25
0.021333333333333333,0.03988851633035374,2765.625
0.032,0.06857935234364135,3562.5
0.042666666666666665,0.06526822866129517,2765.625
0.05333333333333334,0.042356367670625034,3609.375
0.064,0.10026465891024225,3609.375
0.07466666666666667,0.07481106395998317,2625.0
0.08533333333333333,0.048378323902425524,2625.0
0.096,0.08653919995285039,3609.375
0.10666666666666667,0.05146539106987781,2718.75
0.11733333333333333,0.0483900432880831,2765.625
0.128,0.07097878517176567,2859.375
0.13866666666666666,0.044053497733743896,3609.375
0.14933333333333335,0.049085302428313965,3609.375
0.16,0.08436002725156705,3562.5
