label,source_file,segment_index,start_sample,end_sample,td_mean,td_std,td_variance,td_rms,td_peak_abs,td_peak_to_peak,td_skewness,td_kurtosis,td_crest_factor,td_shape_factor,td_impulse_factor,td_clearance_factor,td_energy,td_entropy
ball,/Users/ec/Desktop/automation/hidayet/BitirmeCod/data/cwru_selected/ball/118.mat,0,0,2048,0.015750576288828592,0.1336768542272595,0.01786950135609599,0.13460156763398484,0.4817825948103792,0.9344893013972055,0.011874715644123287,2.9019717688443833,3.5793238019371807,1.2437705141784787,4.451857405546675,5.226519950001042,37.104807955509656,-60.13613062333077
ball,/Users/ec/Desktop/automation/hidayet/BitirmeCod/data/cwru_selected/ball/118.mat,1,1024,3072,0.015344885034618262,0.14004591270451053,0.019612857665239382,0.14088407703486236,0.5090716966067864,1.0036866666666666,-0.00873975363334023,3.0759548540923993,3.6134083235028363,1.2495353357661825,4.515081382768435,5.29456911548099,40.64936583570439,-51.79341653200882
ball,/Users/ec/Desktop/automation/hidayet/BitirmeCod/data/cwru_selected/ball/118.mat,2,2048,4096,0.015279530275386725,0.13895812441985705,0.019309360342284476,0.1397956522489914,0.5090716966067864,1.0036866666666666,-0.003106964963920221,3.0787234396633756,3.641541696161436,1.2560333727861421,4.573897898771017,5.388300863308812,40.02370434605248,-52.31163106621012
ball,/Users/ec/Desktop/automation/hidayet/BitirmeCod/data/cwru_selected/ball/118.mat,3,3072,5120,0.015305624590662426,0.12859533083207977,0.016536759111812044,0.12950297778785758,0.40608782435129737,0.8058406786427146,-0.009985890956531145,2.7468779856970476,3.1357412106501608,1.2427155473231912,3.896834354857001,4.583165935461842,34.347051532128944,-74.1747274244245
ball,/Users/ec/Desktop/automation/hidayet/BitirmeCod/data/cwru_selected/ball/118.mat,4,4096,6144,0.015259146570140967,0.13271306792679122,0.017612758398541102,0.13358742438040397,0.432239880239521,0.8474240718562874,-0.023236706386957177,2.602794869651753,3.2356330114477942,1.2248035698476836,3.9630148631382687,4.61228916748218,36.547788702904626,-67.48501887374363
ball,/Users/ec/Desktop/automation/hidayet/BitirmeCod/data/cwru_selected/ball/118.mat,5,5120,7168,0.015253435960111028,0.13828671194328312,0.019123214700084566,0.13912541826953756,0.5204421556886227,0.9502455089820359,-0.05529987383679874,2.9383408503638746,3.7408128734630877,1.242507408439372,4.647987708863261,5.447491372092763,39.64084635376389,-56.20770954140536
ball,/Users/ec/Desktop/automation/hidayet/BitirmeCod/data/cwru_selected/ball/118.mat,6,6144,8192,0.014884942985123504,0.1392516190689811,0.01939101341333262,0.14004490330248723,0.5204421556886227,0.977209740518962,-0.0669872236275537,3.097465559921639,3.7162520264268664,1.2630856689142616,4.693944676653359,5.573802714720801,40.16655347917414,-53.53157756177708
ball,/Users/ec/Desktop/automation/hidayet/BitirmeCod/data/cwru_selected/ball/118.mat,7,7168,9216,0.015042777901228791,0.13877257905387697,0.019257828697264535,0.13958550735749836,0.48763025948103794,0.9177584830339321,-0.03928508225477856,2.909491972798737,3.49341610538512,1.2500661967080682,4.367001384377489,5.145180241602428,39.903465193984474,-58.11231916433771
ball,/Users/ec/Desktop/automation/hidayet/BitirmeCod/data/cwru_selected/ball/118.mat,8,8192,10240,0.015225596736215069,0.1405850715955473,0.01976416235552516,0.14140714674831326,0.48763025948103794,0.9177584830339321,-0.04761407898428872,2.86481331694826,3.4484131155616753,1.2483663513237397,4.304882898930658,5.073754542430045,40.95176939826996,-55.981728005042726
ball,/Users/ec/Desktop/automation/hidayet/BitirmeCod/data/cwru_selected/ball/118.mat,9,9216,11264,0.015290158355164672,0.14304187936421212,0.02046097925204581,0.1438567627696794,0.5258025149700598,1.0384477844311375,-0.03624559815731632,2.9771538409956726,3.655042035193655,1.2584854170957902,4.599817100163333,5.458330799377288,42.382885262483086,-47.96623817371684
