label,source_file,segment_index,start_sample,end_sample,td_mean,td_std,td_variance,td_rms,td_peak_abs,td_peak_to_peak,td_skewness,td_kurtosis,td_crest_factor,td_shape_factor,td_impulse_factor,td_clearance_factor,td_energy,td_entropy
ball,/Users/ec/Desktop/automation/hidayet/BitirmeCod/demo_data/ball/ball_demo.csv,0,0,2048,0.021292035568967867,0.1855614621492715,0.034433056234975515,0.18677903258568854,1.1044509481324027,1.3825771085059704,1.4094029293219388,8.03670303984315,5.913142031216562,1.3056195940231468,7.720314098198173,9.003676495361413,71.4473615639464,-36.92798433706933
ball,/Users/ec/Desktop/automation/hidayet/BitirmeCod/demo_data/ball/ball_demo.csv,1,1024,3072,0.01601574866122231,0.184049076787924,0.033874062666487154,0.1847445990324659,1.1044509481324027,1.3825771085059704,1.4627751741203627,8.281071661140247,5.978258384367238,1.302490524659726,7.78662489960589,9.060966019437313,69.8994009531732,-37.473870971315534
ball,/Users/ec/Desktop/automation/hidayet/BitirmeCod/demo_data/ball/ball_demo.csv,2,2048,4096,0.023709123157744885,0.1847800205416152,0.034143655991359725,0.18629486979589333,1.0857306479277538,1.3535810744609857,1.3614094511602806,7.866618014326874,5.828022259106179,1.2933367835508724,7.537595563055275,8.74843736383517,71.0774343931266,-39.763449705328746
ball,/Users/ec/Desktop/automation/hidayet/BitirmeCod/demo_data/ball/ball_demo.csv,3,3072,5120,0.013687422377362495,0.18514269748630133,0.03427781843250409,0.18564795706885767,1.1057836323373411,1.380296475510543,1.430340531331633,8.023324213132952,5.956346893314861,1.292276934450188,7.697249703814831,8.927424809528354,70.58465579794517,-38.55761237526349
ball,/Users/ec/Desktop/automation/hidayet/BitirmeCod/demo_data/ball/ball_demo.csv,4,4096,6144,0.022556965188842627,0.18371286008928003,0.03375041496218338,0.18509249482546297,1.1057836323373411,1.380296475510543,1.3453505707305675,7.808796689411176,5.97422187960708,1.2924221545861225,7.721216713617337,8.959918283944413,70.16290640018235,-37.574488791584145
ball,/Users/ec/Desktop/automation/hidayet/BitirmeCod/demo_data/ball/ball_demo.csv,5,5120,7168,0.01626481992618465,0.1858875429894587,0.034554178638657854,0.18659775723702862,1.064596907988913,1.3310767185546477,1.381955005035514,7.631243946832092,5.705303877991377,1.2961324968232775,7.394829760516492,8.61456936077662,71.30874471606081,-38.65477832745025
ball,/Users/ec/Desktop/automation/hidayet/BitirmeCod/demo_data/ball/ball_demo.csv,6,6144,8192,0.021148424987943067,0.18567445287909537,0.03447500245195141,0.1868749804854092,1.064596907988913,1.3369630353883895,1.4567833878827634,8.116516323279676,5.696840236309935,1.3194344812517504,7.516607441969699,8.825436412837254,71.5207850627524,-38.05043804573047
ball,/Users/ec/Desktop/automation/hidayet/BitirmeCod/demo_data/ball/ball_demo.csv,7,7168,9216,0.017127371971647584,0.1831604523274334,0.03354775129679,0.18395950143291098,1.0847638012279432,1.3670330893982374,1.4211625324997494,8.05650361435874,5.896753322217231,1.3049326348968489,7.694865850097678,8.985947287063434,69.30656904692773,-37.21690643103407
ball,/Users/ec/Desktop/automation/hidayet/BitirmeCod/demo_data/ball/ball_demo.csv,8,8192,10240,0.01729618141980551,0.18303874762411326,0.033503183131803824,0.183854129742877,1.0847638012279432,1.3670330893982374,1.4633303597745466,8.34265413116525,5.90013290832794,1.3096435626481675,7.727071082160298,9.022557377232223,69.2271944161498,-37.81263869969864
ball,/Users/ec/Desktop/automation/hidayet/BitirmeCod/demo_data/ball/ball_demo.csv,9,9216,11264,0.021621944466183117,0.18390024229608892,0.03381929911656022,0.1851669722144285,1.0881474543498082,1.3686441075586364,1.3742769919461473,7.990412389038042,5.876574214810313,1.2963721717880428,7.618227277527258,8.832972467806322,70.21938196287269,-37.83785150970508
