label,source_file,source_basename,segment_index,start_sample,end_sample,signal_key,rpm,output_fault_status,output_bearing_type,output_fault_location,output_fault_diameter_in,output_motor_load_hp,output_outer_race_position,tf_stft_plot_path,tf_stft_series_path,fd_dominant_freq_hz,fd_spectral_centroid_hz,fd_spectral_bandwidth_hz,fd_total_spectral_energy,fd_envelope_dominant_freq_hz,fd_band_energy_0_500_hz,fd_band_energy_500_2000_hz,fd_band_energy_2000_plus_hz,fd_peak1_freq_hz,fd_peak1_amp,fd_peak2_freq_hz,fd_peak2_amp,fd_peak3_freq_hz,fd_peak3_amp,fd_peak4_freq_hz,fd_peak4_amp,fd_peak5_freq_hz,fd_peak5_amp,fd_bpfi_hz,fd_bpfi_h1_fft_amp,fd_bpfi_h1_envelope_amp,fd_bpfi_h2_fft_amp,fd_bpfi_h2_envelope_amp,fd_bpfi_h3_fft_amp,fd_bpfi_h3_envelope_amp,fd_bpfo_hz,fd_bpfo_h1_fft_amp,fd_bpfo_h1_envelope_amp,fd_bpfo_h2_fft_amp,fd_bpfo_h2_envelope_amp,fd_bpfo_h3_fft_amp,fd_bpfo_h3_envelope_amp,fd_bsf_hz,fd_bsf_h1_fft_amp,fd_bsf_h1_envelope_amp,fd_bsf_h2_fft_amp,fd_bsf_h2_envelope_amp,fd_bsf_h3_fft_amp,fd_bsf_h3_envelope_amp,fd_ftf_hz,fd_ftf_h1_fft_amp,fd_ftf_h1_envelope_amp,fd_ftf_h2_fft_amp,fd_ftf_h2_envelope_amp,fd_ftf_h3_fft_amp,fd_ftf_h3_envelope_amp
ball,/Users/ec/Desktop/automation/hidayet/BitirmeCod/data/cwru_database_20260329/ball/118.mat,118.mat,0,0,2048,X118_DE_time,1796.0,FAULT,DRIVE_END,BALL,0.007,0,NONE,/Users/ec/Desktop/automation/hidayet/BitirmeCod/outputs/cwru_database_run/stft/plots/ball/118_segment_0_stft.png,/Users/ec/Desktop/automation/hidayet/BitirmeCod/outputs/cwru_database_run/stft/series/ball/118_segment_0_stft_series.csv,3363.28125,2699.7517212770654,1113.5712030436857,0.0036359685492217443,41.015625,0.00031099930468025537,0.001406401117094338,0.015212411241436448,3363.28125,0.018561104516620568,3257.8125,0.011966248890700503,3281.25,0.009830074307304428,3445.3125,0.009632919986726236,3304.6875,0.007264751140255223,162.19,0.002846272933124092,0.004084040553011115,0.000930027794432887,0.0018211226334896118,0.0005975901916964923,0.0001666209002067263,107.36,0.00027687951659016756,0.004070390615408423,0.00014251742626430471,0.0024776778894465587,0.0005039012091362463,0.0009207928581306243,141.17,0.0001888004914118316,0.003752406539919563,0.00037571249031984814,0.0018844807084058164,0.002078083173932737,0.003611374713050401,11.93,7.498657861737244e-06,0.005058409965245906,6.176768315687869e-05,0.00542634380229289,7.61459540317887e-05,0.005395680622676641
ball,/Users/ec/Desktop/automation/hidayet/BitirmeCod/data/cwru_database_20260329/ball/118.mat,118.mat,1,1024,3072,X118_DE_time,1796.0,FAULT,DRIVE_END,BALL,0.007,0,NONE,NOT_SAVED,NOT_SAVED,3369.140625,2659.5483214325036,1109.7985860091792,0.0038504822254276628,46.875,0.00033521981215548484,0.0015619960087291372,0.017575605524416185,3369.140625,0.014844124572175791,2847.65625,0.011608108852913747,3234.375,0.010709219392238636,3328.125,0.008885899661907018,3527.34375,0.008325672599454709,162.19,0.0030227193066999407,0.0037573799737794754,0.0008953114871701063,0.0034915943023270516,0.000593131067838373,0.0023022387443871885,107.36,0.00015986297105776128,0.0031415626659763605,0.000529735667162995,0.006755902466835786,0.0004837353987223915,0.0031475123323179894,141.17,0.00042950002332795765,0.004893224008991341,0.00039136328043384627,0.002423846555336665,0.0017005492269946431,0.0034986487880894275,11.93,1.4057947337832234e-06,0.005355462825058115,5.527074460397908e-05,0.0012695407060695852,8.013771805130473e-05,0.004774974973770872
ball,/Users/ec/Desktop/automation/hidayet/BitirmeCod/data/cwru_database_20260329/ball/118.mat,118.mat,2,2048,4096,X118_DE_time,1796.0,FAULT,DRIVE_END,BALL,0.007,0,NONE,NOT_SAVED,NOT_SAVED,3228.515625,2670.401685297023,1114.6042762895202,0.003473615526058283,41.015625,0.0003389517617430045,0.001524615546823447,0.01568766959945742,3228.515625,0.012550232047940443,3439.453125,0.009695435564059478,3416.015625,0.009270748450878814,3333.984375,0.009224411861011196,3304.6875,0.008623727099796733,162.19,0.0028689945775366653,0.005384965206404379,0.0003222664038529406,0.003157026326625809,0.0005081463595536964,0.0012019159118535053,107.36,0.0001435229350551038,0.00394135145450115,0.00018462142411062023,0.005929471344360262,0.00019273487614846141,0.001331047993946644,141.17,0.0005498201951862361,0.004258437218042901,0.0001400905866792881,0.004333141237632058,0.0023382208567360226,0.0018683656883296327,11.93,5.909861655244246e-06,0.0022256966451735145,4.9782446057042274e-05,0.004130932624758995,7.218542881005727e-05,0.00518430443829893
ball,/Users/ec/Desktop/automation/hidayet/BitirmeCod/data/cwru_database_20260329/ball/118.mat,118.mat,3,3072,5120,X118_DE_time,1796.0,FAULT,DRIVE_END,BALL,0.007,0,NONE,NOT_SAVED,NOT_SAVED,3328.125,2663.4445379059607,1139.6745642452613,0.0029098479647863135,11.71875,0.00044442472973746545,0.001380529129556039,0.013507150778647706,3328.125,0.009342162748398952,3263.671875,0.008572044839939083,3404.296875,0.00833433590285206,3275.390625,0.008243024120557458,3427.734375,0.00808938723275584,162.19,0.0031430895808322716,0.001986514066609553,0.00034960731495939086,0.0030479944468434347,0.0009653373548295792,0.004037431044216341,107.36,0.000242075361721664,0.004041652089759033,0.0005039331948015288,0.0014811981771922918,0.0002996668152198736,0.0030479944468434347,141.17,0.0003603469834193344,0.0020806361396602446,0.0003792680414206998,0.0024589917461280016,0.002791952208992795,0.002578308694162285,11.93,4.838709395045381e-06,0.006431599652264893,5.67909884669348e-05,0.0012633215515002825,7.823303318160438e-05,0.0015476056616671192
ball,/Users/ec/Desktop/automation/hidayet/BitirmeCod/data/cwru_database_20260329/ball/118.mat,118.mat,4,4096,6144,X118_DE_time,1796.0,FAULT,DRIVE_END,BALL,0.007,0,NONE,NOT_SAVED,NOT_SAVED,3363.28125,2697.2627763012774,1115.9373694103888,0.003527000035396831,70.3125,0.0004890813727537305,0.0013462980336889701,0.015394173658217403,3363.28125,0.015261367416642932,3281.25,0.013248900447115889,3445.3125,0.010755523041239647,3263.671875,0.009453028458222872,3304.6875,0.008779350804620546,162.19,0.0029030534520833873,0.00431829689715646,0.0005302567134404236,0.0029873107187311622,0.0008549904811716912,0.0014580114577989456,107.36,0.00025673094487654776,0.004303745242245381,7.402169854398854e-05,0.0016840821029319667,0.00047023101458883013,0.0029873107187311622,141.17,0.0006229585383318584,0.00361065119628374,0.00031645434386280393,0.0017502825016429378,0.0033630862049764715,0.0014567856976665991,11.93,1.1689482918761806e-05,0.0041837049405167685,4.9330045288822765e-05,0.006254722765906205,6.7771244246073e-05,0.003047824653015625
ball,/Users/ec/Desktop/automation/hidayet/BitirmeCod/data/cwru_database_20260329/ball/118.mat,118.mat,5,5120,7168,X118_DE_time,1796.0,FAULT,DRIVE_END,BALL,0.007,0,NONE,NOT_SAVED,NOT_SAVED,3369.140625,2688.371786427669,1103.5950855348726,0.003717639466400021,46.875,0.00043292706716637104,0.0014735188195261599,0.017194831552939445,3369.140625,0.014729339423243008,3445.3125,0.011426238906734349,3234.375,0.010827130490401765,3410.15625,0.009517593580510639,3310.546875,0.00811107949341005,162.19,0.003013060294698732,0.0068336690177212426,0.0004233215052392518,0.0013036668051803345,0.00035895371002366336,0.004220575948572486,107.36,0.0002553609612406457,0.0016195790969010951,0.00044815864494645083,0.00567491089013463,0.00013940745061183084,0.0013036668051803345,141.17,0.00048001154686149795,0.002517548014178772,0.0006613400694437869,0.002439476038145528,0.0031336388724149617,0.002236751352968946,11.93,6.54852643963543e-06,0.001681157888054911,4.63748278390257e-05,0.005480366526447379,6.539115438647845e-05,0.006133300452186898
ball,/Users/ec/Desktop/automation/hidayet/BitirmeCod/data/cwru_database_20260329/ball/118.mat,118.mat,6,6144,8192,X118_DE_time,1796.0,FAULT,DRIVE_END,BALL,0.007,0,NONE,NOT_SAVED,NOT_SAVED,3234.375,2710.214963867908,1096.9242118396699,0.003916059081469893,29.296875,0.00039426699667117213,0.0015783573568596818,0.01720770198530443,3234.375,0.012619085865583036,3445.3125,0.011760821952882725,3304.6875,0.011681053157124834,3416.015625,0.011217864702742074,3351.5625,0.010204623373458194,162.19,0.00272801741946395,0.004275900577616872,0.0007686769048208486,0.0018992701900655948,0.0002083593412679709,0.00251377943733558,107.36,0.0002166370973324639,0.006235691853365768,0.00022260107525333577,0.007396727137651311,0.00036473177803699873,0.0018992701900655948,141.17,0.00032395442237995767,0.002261284832894837,0.0004402246275841094,0.0019310999281051565,0.0030571655958346535,0.0019189657334484774,11.93,3.98292027836536e-06,0.0031940980642991656,5.0201357839586165e-05,0.007727954724077343,6.614651658542796e-05,0.004460895408039304
ball,/Users/ec/Desktop/automation/hidayet/BitirmeCod/data/cwru_database_20260329/ball/118.mat,118.mat,7,7168,9216,X118_DE_time,1796.0,FAULT,DRIVE_END,BALL,0.007,0,NONE,NOT_SAVED,NOT_SAVED,3234.375,2648.7030447917145,1131.876373396395,0.0029062224630617495,105.46875,0.00033998129282378876,0.0015698316412306893,0.01598214152850981,3234.375,0.009775181522129797,3275.390625,0.009257922459475244,3310.546875,0.008326953149979912,3462.890625,0.007993714944297322,3292.96875,0.007893565112093269,162.19,0.003090082674538128,0.006016115692065374,0.0005970748337247025,0.0015280945932905903,0.0007237289092738995,0.003179839625173488,107.36,0.00010787414464811374,0.007095897303835018,0.0004397090467380062,0.0014880980401096697,0.0005970748337247025,0.0015280945932905903,141.17,0.0005753532636204383,0.000928446368785407,0.00038134186504603154,0.002173223269893732,0.0016656405894200162,0.003730399525412009,11.93,2.575071700839902e-06,0.004051443183644866,5.135863754126274e-05,0.0022030696217853326,6.953853220750818e-05,0.004091149659873244
ball,/Users/ec/Desktop/automation/hidayet/BitirmeCod/data/cwru_database_20260329/ball/118.mat,118.mat,8,8192,10240,X118_DE_time,1796.0,FAULT,DRIVE_END,BALL,0.007,0,NONE,NOT_SAVED,NOT_SAVED,3263.671875,2728.3644435327724,1086.634474428438,0.004015165325769317,23.4375,0.0003441699732896237,0.0013975924440740065,0.018996123042182567,3263.671875,0.016332243689579744,3357.421875,0.014642669057506618,3281.25,0.013256780278420999,3527.34375,0.008930377042186667,3328.125,0.008787394104608739,162.19,0.002839469410869213,0.006797463970607723,0.0005493045747525426,0.0016673900976310909,0.001431744345637533,0.00172006875076321,107.36,0.0001184955965990654,0.0031404508505695587,0.0001920025173327899,0.002893527302242536,0.0005493045747525426,0.0010760355742131357,141.17,0.00034384223396719004,0.0007578794486773933,0.00024459877692055627,0.0024701606329531867,0.0011132659974523377,0.0033427142925504874,11.93,2.7013937180205227e-06,0.005142962706908201,5.23129200153342e-05,0.007567839928226944,7.643332210664411e-05,0.005374643654448088
ball,/Users/ec/Desktop/automation/hidayet/BitirmeCod/data/cwru_database_20260329/ball/118.mat,118.mat,9,9216,11264,X118_DE_time,1796.0,FAULT,DRIVE_END,BALL,0.007,0,NONE,NOT_SAVED,NOT_SAVED,3369.140625,2671.3954092002386,1117.3211326950725,0.00367765421729776,46.875,0.000338622359216612,0.0013668528031324013,0.01800943501581987,3369.140625,0.014605563593801536,3410.15625,0.013942978723653831,3234.375,0.011708736776314576,3445.3125,0.009555899582833902,3275.390625,0.008778815241109173,162.19,0.0030222750650295283,0.0067956124412183894,0.00046102131767160543,0.0021247549362673713,0.0011137366424891061,0.003150697980056664,107.36,9.718569537400116e-05,0.004820765371785569,0.00046186830872128605,0.0032238331146479623,0.00046102131767160543,0.0011383140050721422,141.17,0.000495022164278064,0.0034151679936278525,0.00034020295953676033,0.0010417270651177952,0.0015118840035657018,0.00094886181765391,11.93,9.305951067330967e-06,0.0013563617866548811,4.6560103849696686e-05,0.0010897261943921255,7.686683831930231e-05,0.00669529090767888
